functionality,case_id,test_case,label_gold,target_ident,ref_case_id,ref_templ_id,templ_id,case_templ
derog_neg_emote_h,101,Het zien van homoseksuelen op deze plek maakt me zo boos.,hateful,gay people,,,15,Het zien van [IDENT_P] op deze plek maakt me zo boos.
derog_neg_emote_h,102,Het zien van zwarte personen op deze plek maakt me zo boos.,hateful,black people,,,15,Het zien van [IDENT_P] op deze plek maakt me zo boos.
derog_neg_emote_h,103,Het zien van gehandicapten op deze plek maakt me zo boos.,hateful,disabled people,,,15,Het zien van [IDENT_P] op deze plek maakt me zo boos.
derog_neg_emote_h,104,Het zien van immigranten op deze plek maakt me zo boos.,hateful,immigrants,,,15,Het zien van [IDENT_P] op deze plek maakt me zo boos.
derog_neg_emote_h,105,Het zien van Moslims op deze plek maakt me zo boos.,hateful,Muslims,,,15,Het zien van [IDENT_P] op deze plek maakt me zo boos.
derog_neg_emote_h,106,"Vrouwen die denken dat ze mijn gelijke zijn, vullen me met zoveel woede.",hateful,women,,,16,"[IDENT_P] die denken dat ze mijn gelijke zijn, vullen me met zoveel woede."
derog_neg_emote_h,107,"Transgenders die denken dat ze mijn gelijke zijn, vullen me met zoveel woede.",hateful,trans people,,,16,"[IDENT_P] die denken dat ze mijn gelijke zijn, vullen me met zoveel woede."
derog_neg_emote_h,108,"Homoseksuelen die denken dat ze mijn gelijke zijn, vullen me met zoveel woede.",hateful,gay people,,,16,"[IDENT_P] die denken dat ze mijn gelijke zijn, vullen me met zoveel woede."
derog_neg_emote_h,109,"Zwarte personen die denken dat ze mijn gelijke zijn, vullen me met zoveel woede.",hateful,black people,,,16,"[IDENT_P] die denken dat ze mijn gelijke zijn, vullen me met zoveel woede."
derog_neg_emote_h,110,"Gehandicapten die denken dat ze mijn gelijke zijn, vullen me met zoveel woede.",hateful,disabled people,,,16,"[IDENT_P] die denken dat ze mijn gelijke zijn, vullen me met zoveel woede."
derog_neg_emote_h,111,"Immigranten die denken dat ze mijn gelijke zijn, vullen me met zoveel woede.",hateful,immigrants,,,16,"[IDENT_P] die denken dat ze mijn gelijke zijn, vullen me met zoveel woede."
derog_neg_emote_h,112,"Moslims die denken dat ze mijn gelijke zijn, vullen me met zoveel woede.",hateful,Muslims,,,16,"[IDENT_P] die denken dat ze mijn gelijke zijn, vullen me met zoveel woede."
derog_neg_emote_h,113,Vrouwen zoals jij maken me woedend.,hateful,women,,,17,[IDENT_P] zoals jij maken me woedend.
derog_neg_emote_h,114,Transgenders zoals jij maken me woedend.,hateful,trans people,,,17,[IDENT_P] zoals jij maken me woedend.
derog_neg_emote_h,115,Homoseksuelen zoals jij maken me woedend.,hateful,gay people,,,17,[IDENT_P] zoals jij maken me woedend.
derog_neg_emote_h,116,Zwarte personen zoals jij maken me woedend.,hateful,black people,,,17,[IDENT_P] zoals jij maken me woedend.
derog_neg_emote_h,117,Gehandicapten zoals jij maken me woedend.,hateful,disabled people,,,17,[IDENT_P] zoals jij maken me woedend.
derog_neg_emote_h,118,Immigranten zoals jij maken me woedend.,hateful,immigrants,,,17,[IDENT_P] zoals jij maken me woedend.
derog_neg_emote_h,119,Moslims zoals jij maken me woedend.,hateful,Muslims,,,17,[IDENT_P] zoals jij maken me woedend.
derog_neg_emote_h,120,Jij en alle andere vrouwen in dit land laten me koken van woede.,hateful,women,,,18,Jij en alle andere [IDENT_P] in dit land laten me koken van woede.
derog_neg_emote_h,121,Jij en alle andere transgenders in dit land laten me koken van woede.,hateful,trans people,,,18,Jij en alle andere [IDENT_P] in dit land laten me koken van woede.
derog_neg_emote_h,122,Jij en alle andere homoseksuelen in dit land laten me koken van woede.,hateful,gay people,,,18,Jij en alle andere [IDENT_P] in dit land laten me koken van woede.
derog_neg_emote_h,123,Jij en alle andere zwarte personen in dit land laten me koken van woede.,hateful,black people,,,18,Jij en alle andere [IDENT_P] in dit land laten me koken van woede.
derog_neg_emote_h,124,Jij en alle andere gehandicapten in dit land laten me koken van woede.,hateful,disabled people,,,18,Jij en alle andere [IDENT_P] in dit land laten me koken van woede.
derog_neg_emote_h,125,Jij en alle andere immigranten in dit land laten me koken van woede.,hateful,immigrants,,,18,Jij en alle andere [IDENT_P] in dit land laten me koken van woede.
derog_neg_emote_h,126,Jij en alle andere Moslims in dit land laten me koken van woede.,hateful,Muslims,,,18,Jij en alle andere [IDENT_P] in dit land laten me koken van woede.
derog_neg_emote_h,127,"De totale minachting die ik voel voor vrouwen, is moeilijk onder woorden te brengen.",hateful,women,,,19,"De totale minachting die ik voel voor [IDENT_P], is moeilijk onder woorden te brengen."
derog_neg_emote_h,128,"De totale minachting die ik voel voor transgenders, is moeilijk onder woorden te brengen.",hateful,trans people,,,19,"De totale minachting die ik voel voor [IDENT_P], is moeilijk onder woorden te brengen."
derog_neg_emote_h,129,"De totale minachting die ik voel voor homoseksuelen, is moeilijk onder woorden te brengen.",hateful,gay people,,,19,"De totale minachting die ik voel voor [IDENT_P], is moeilijk onder woorden te brengen."
derog_neg_emote_h,130,"De totale minachting die ik voel voor zwarte personen, is moeilijk onder woorden te brengen.",hateful,black people,,,19,"De totale minachting die ik voel voor [IDENT_P], is moeilijk onder woorden te brengen."
derog_neg_emote_h,131,"De totale minachting die ik voel voor gehandicapten, is moeilijk onder woorden te brengen.",hateful,disabled people,,,19,"De totale minachting die ik voel voor [IDENT_P], is moeilijk onder woorden te brengen."
derog_neg_emote_h,132,"De totale minachting die ik voel voor immigranten, is moeilijk onder woorden te brengen.",hateful,immigrants,,,19,"De totale minachting die ik voel voor [IDENT_P], is moeilijk onder woorden te brengen."
derog_neg_emote_h,133,"De totale minachting die ik voel voor Moslims, is moeilijk onder woorden te brengen.",hateful,Muslims,,,19,"De totale minachting die ik voel voor [IDENT_P], is moeilijk onder woorden te brengen."
derog_neg_emote_h,134,Ik verafschuw alle vrouwen.,hateful,women,,,20,Ik verafschuw alle [IDENT_P].
derog_neg_emote_h,135,Ik verafschuw alle transgenders.,hateful,trans people,,,20,Ik verafschuw alle [IDENT_P].
derog_neg_emote_h,136,Ik verafschuw alle homoseksuelen.,hateful,gay people,,,20,Ik verafschuw alle [IDENT_P].
derog_neg_emote_h,137,Ik verafschuw alle zwarte personen.,hateful,black people,,,20,Ik verafschuw alle [IDENT_P].
derog_neg_emote_h,138,Ik verafschuw alle gehandicapten.,hateful,disabled people,,,20,Ik verafschuw alle [IDENT_P].
derog_neg_emote_h,139,Ik verafschuw alle immigranten.,hateful,immigrants,,,20,Ik verafschuw alle [IDENT_P].
derog_neg_emote_h,140,Ik verafschuw alle Moslims.,hateful,Muslims,,,20,Ik verafschuw alle [IDENT_P].
derog_neg_attrib_h,141,Vrouwen zijn walgelijk.,hateful,women,,,21,[IDENT_P] zijn walgelijk.
derog_neg_attrib_h,142,Transgenders zijn walgelijk.,hateful,trans people,,,21,[IDENT_P] zijn walgelijk.
derog_neg_attrib_h,143,Homoseksuelen zijn walgelijk.,hateful,gay people,,,21,[IDENT_P] zijn walgelijk.
derog_neg_attrib_h,144,Zwarte personen zijn walgelijk.,hateful,black people,,,21,[IDENT_P] zijn walgelijk.
derog_neg_attrib_h,145,Gehandicapten zijn walgelijk.,hateful,disabled people,,,21,[IDENT_P] zijn walgelijk.
derog_neg_attrib_h,146,Immigranten zijn walgelijk.,hateful,immigrants,,,21,[IDENT_P] zijn walgelijk.
derog_neg_attrib_h,147,Moslims zijn walgelijk.,hateful,Muslims,,,21,[IDENT_P] zijn walgelijk.
derog_neg_attrib_h,148,Alle vrouwen zijn afstotend.,hateful,women,,,22,Alle [IDENT_P] zijn afstotend.
derog_neg_attrib_h,149,Alle transgenders zijn afstotend.,hateful,trans people,,,22,Alle [IDENT_P] zijn afstotend.
derog_neg_attrib_h,150,Alle homoseksuelen zijn afstotend.,hateful,gay people,,,22,Alle [IDENT_P] zijn afstotend.
derog_neg_attrib_h,151,Alle zwarte personen zijn afstotend.,hateful,black people,,,22,Alle [IDENT_P] zijn afstotend.
derog_neg_attrib_h,152,Alle gehandicapten zijn afstotend.,hateful,disabled people,,,22,Alle [IDENT_P] zijn afstotend.
derog_neg_attrib_h,153,Alle immigranten zijn afstotend.,hateful,immigrants,,,22,Alle [IDENT_P] zijn afstotend.
derog_neg_attrib_h,154,Alle Moslims zijn afstotend.,hateful,Muslims,,,22,Alle [IDENT_P] zijn afstotend.
derog_neg_attrib_h,155,Vrouwen zijn absoluut verachtelijk.,hateful,women,,,23,[IDENT_P] zijn absoluut verachtelijk.
derog_neg_attrib_h,156,Transgenders zijn absoluut verachtelijk.,hateful,trans people,,,23,[IDENT_P] zijn absoluut verachtelijk.
derog_neg_attrib_h,157,Homoseksuelen zijn absoluut verachtelijk.,hateful,gay people,,,23,[IDENT_P] zijn absoluut verachtelijk.
derog_neg_attrib_h,158,Zwarte personen zijn absoluut verachtelijk.,hateful,black people,,,23,[IDENT_P] zijn absoluut verachtelijk.
derog_neg_attrib_h,159,Gehandicapten zijn absoluut verachtelijk.,hateful,disabled people,,,23,[IDENT_P] zijn absoluut verachtelijk.
derog_neg_attrib_h,160,Immigranten zijn absoluut verachtelijk.,hateful,immigrants,,,23,[IDENT_P] zijn absoluut verachtelijk.
derog_neg_attrib_h,161,Moslims zijn absoluut verachtelijk.,hateful,Muslims,,,23,[IDENT_P] zijn absoluut verachtelijk.
derog_neg_attrib_h,162,Vrouwen zijn gewoon zo misselijkmakend.,hateful,women,,,24,[IDENT_P] zijn gewoon zo misselijkmakend.
derog_neg_attrib_h,163,Transgenders zijn gewoon zo misselijkmakend.,hateful,trans people,,,24,[IDENT_P] zijn gewoon zo misselijkmakend.
derog_neg_attrib_h,164,Homoseksuelen zijn gewoon zo misselijkmakend.,hateful,gay people,,,24,[IDENT_P] zijn gewoon zo misselijkmakend.
derog_neg_attrib_h,165,Zwarte personen zijn gewoon zo misselijkmakend.,hateful,black people,,,24,[IDENT_P] zijn gewoon zo misselijkmakend.
derog_neg_attrib_h,166,Gehandicapten zijn gewoon zo misselijkmakend.,hateful,disabled people,,,24,[IDENT_P] zijn gewoon zo misselijkmakend.
derog_neg_attrib_h,167,Immigranten zijn gewoon zo misselijkmakend.,hateful,immigrants,,,24,[IDENT_P] zijn gewoon zo misselijkmakend.
derog_neg_attrib_h,168,Moslims zijn gewoon zo misselijkmakend.,hateful,Muslims,,,24,[IDENT_P] zijn gewoon zo misselijkmakend.
derog_neg_attrib_h,169,Vrouwen kunnen zichzelf er niet van weerhouden om absoluut walgelijk te zijn.,hateful,women,,,25,[IDENT_P] kunnen zichzelf er niet van weerhouden om absoluut walgelijk te zijn.
derog_neg_attrib_h,170,Transgenders kunnen zichzelf er niet van weerhouden om absoluut walgelijk te zijn.,hateful,trans people,,,25,[IDENT_P] kunnen zichzelf er niet van weerhouden om absoluut walgelijk te zijn.
derog_neg_attrib_h,171,Homoseksuelen kunnen zichzelf er niet van weerhouden om absoluut walgelijk te zijn.,hateful,gay people,,,25,[IDENT_P] kunnen zichzelf er niet van weerhouden om absoluut walgelijk te zijn.
derog_neg_attrib_h,172,Zwarte personen kunnen zichzelf er niet van weerhouden om absoluut walgelijk te zijn.,hateful,black people,,,25,[IDENT_P] kunnen zichzelf er niet van weerhouden om absoluut walgelijk te zijn.
derog_neg_attrib_h,173,Gehandicapten kunnen zichzelf er niet van weerhouden om absoluut walgelijk te zijn.,hateful,disabled people,,,25,[IDENT_P] kunnen zichzelf er niet van weerhouden om absoluut walgelijk te zijn.
derog_neg_attrib_h,174,Immigranten kunnen zichzelf er niet van weerhouden om absoluut walgelijk te zijn.,hateful,immigrants,,,25,[IDENT_P] kunnen zichzelf er niet van weerhouden om absoluut walgelijk te zijn.
derog_neg_attrib_h,175,Moslims kunnen zichzelf er niet van weerhouden om absoluut walgelijk te zijn.,hateful,Muslims,,,25,[IDENT_P] kunnen zichzelf er niet van weerhouden om absoluut walgelijk te zijn.
derog_neg_attrib_h,176,Vrouwen zoals jij zijn weerzinwekkend.,hateful,women,,,26,[IDENT_P] zoals jij zijn weerzinwekkend.
derog_neg_attrib_h,177,Transgenders zoals jij zijn weerzinwekkend.,hateful,trans people,,,26,[IDENT_P] zoals jij zijn weerzinwekkend.
derog_neg_attrib_h,178,Homoseksuelen zoals jij zijn weerzinwekkend.,hateful,gay people,,,26,[IDENT_P] zoals jij zijn weerzinwekkend.
derog_neg_attrib_h,179,Zwarte personen zoals jij zijn weerzinwekkend.,hateful,black people,,,26,[IDENT_P] zoals jij zijn weerzinwekkend.
derog_neg_attrib_h,180,Gehandicapten zoals jij zijn weerzinwekkend.,hateful,disabled people,,,26,[IDENT_P] zoals jij zijn weerzinwekkend.
derog_neg_attrib_h,181,Immigranten zoals jij zijn weerzinwekkend.,hateful,immigrants,,,26,[IDENT_P] zoals jij zijn weerzinwekkend.
derog_neg_attrib_h,182,Moslims zoals jij zijn weerzinwekkend.,hateful,Muslims,,,26,[IDENT_P] zoals jij zijn weerzinwekkend.
derog_neg_attrib_h,183,Jullie vrouwen zijn allemaal oneerlijk.,hateful,women,,,27,Jullie [IDENT_P] zijn allemaal oneerlijk.
derog_neg_attrib_h,184,Jullie transgenders zijn allemaal oneerlijk.,hateful,trans people,,,27,Jullie [IDENT_P] zijn allemaal oneerlijk.
derog_neg_attrib_h,185,Jullie homoseksuelen zijn allemaal oneerlijk.,hateful,gay people,,,27,Jullie [IDENT_P] zijn allemaal oneerlijk.
derog_neg_attrib_h,186,Jullie zwarte personen zijn allemaal oneerlijk.,hateful,black people,,,27,Jullie [IDENT_P] zijn allemaal oneerlijk.
derog_neg_attrib_h,187,Jullie gehandicapten zijn allemaal oneerlijk.,hateful,disabled people,,,27,Jullie [IDENT_P] zijn allemaal oneerlijk.
derog_neg_attrib_h,188,Jullie immigranten zijn allemaal oneerlijk.,hateful,immigrants,,,27,Jullie [IDENT_P] zijn allemaal oneerlijk.
derog_neg_attrib_h,189,Jullie Moslims zijn allemaal oneerlijk.,hateful,Muslims,,,27,Jullie [IDENT_P] zijn allemaal oneerlijk.
derog_neg_attrib_h,190,Alle vrouwen zoals zij zijn verachtelijk.,hateful,women,,,28,Alle [IDENT_P] zoals zij zijn verachtelijk.
derog_neg_attrib_h,191,Alle transgenders zoals zij zijn verachtelijk.,hateful,trans people,,,28,Alle [IDENT_P] zoals zij zijn verachtelijk.
